order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
e7ea49d59f3d4fb3ac94f061be15155b,1,158746a0322c4ba4bffd94c963a9c698,9ac56cc813974f7db34982f4da600083,,781.68,26.24
1b47ee9a876b47599cbf33bf75ba6315,1,91497312179c441a83bf799d5169e9f9,199e1d0064594d3694cc3f7b3f5ff71a,,789.49,47.27
1b47ee9a876b47599cbf33bf75ba6315,2,c39be9df871a44a4bd6776681b42095a,636ec978abc4434586abcaf1ad7754a2,,50.38,8.87
6c6ff7cc2e4148b781d8a2318e298dd3,1,a5f644c8c515422680ebef85c1ef35db,751c0bfd2c2947b1a1063e8b9d311075,,966.41,55.89
44e9aaa1f1694336b511ba89bae04393,1,a70669065acc445f84a812d618fde6b1,e130d5e5fa574ed393bc5b76772159c7,,511.3,22.61
57e37898392a4cada12ea9dec65b9821,1,7601e214ff32470dbd1769ae931cc1ab,7aec1009aaa1425dac907f9bdcbb77ee,,760.59,17.75
dcbea922d5a54ef692a47cb3ca124f8e,1,8eb7934b22b94ca794a5a0943a130b56,890312735caf4e61af46327f098476b8,,290.13,51.45
ad01dc5f3abc4278804db180861c3fdb,1,0d98a029b1c24d61a1a947b107a37920,d6ee630817134b42be654c84a65677c1,,821.98,39.99
ad01dc5f3abc4278804db180861c3fdb,2,ff98097521f14ef5ac8b6cce3625dcc7,4411df54f73b45488251afff0324c126,,558.83,20.2
c75c0f4b1cb84aa983ba7c139b195d60,1,5664a0cf2b514fc5be55298073109a3a,b3c8eabedaff44a5bb94779e7d7d391c,,535.72,57.05
c6a39f12ae284d6cb75dd5c31a1bc37b,1,db5d5c6a333d4b5e8de90fe12d6c5c58,5fd8d48a5a3843c1a6bc8289989c767d,,528.34,12.89
3ef585254f434a74bd770635f55a68f2,1,c39be9df871a44a4bd6776681b42095a,1af7c8ef07dd46f2bb36eda925e8a999,,356.55,11.92
0b4a655b705c4427ad49214e296a44bb,1,031d88a5eb034d17b336386a28e8a95d,c50f23e039f84a34815b6f8d202ec508,,260.49,48.61
cb4488adf3ed4ee1b157965200187ce9,1,4fa78567bcca4de7aea6d0b782dbd143,48f51e8cb7d845c2afb2bffb6b4e8566,,76.99,9.76
20b183fe45ed4b138a0d2effaa24bc8c,1,c0d1c63a3520462cb6d8445feebc8b26,6aa4f42f431247b19cf7b84c4ba43be0,,51.33,46.56
20b183fe45ed4b138a0d2effaa24bc8c,2,b0bd127fca3d4670a7f8db87e362153f,9e1c9cf1a03c4647a46dfdc8b947469f,,307.13,46.14
4c39ea2578fb4f08b5f2cc79b5cfbde2,1,9d8badc5791c4ce99e32674b6470696c,231e6fe8364a4e56a5760e29057b2150,,665.11,20.55
8441621363f54e6e84b944fdfe6e6427,1,d966baec00ec48a397bb099f98a40287,7da8304c9e194e028ac306f5dc6c0d26,,568.97,39.18
8441621363f54e6e84b944fdfe6e6427,2,94d290b9790844e9a4ae6fbc8649d8c6,3605df389b1045fab637b4264e4db4bb,,822.13,7.0
f211b0b9a69e4e82a79a36de2d328476,1,6df08f7a2e10411295a41ace322dd867,5fa4a383dd7f4454a2ca61206a2acd78,,773.78,18.58
4075f1f695464920872fe976cfabfbe3,1,94cd556183b2499f8466c62b96831a7a,870e984ac42d48b9af473b16cbf2d323,,682.49,59.3
a1b880d013794c419365b395a8ed4bf3,1,d22300a530494794b9a28641eb9a8b40,07a51d606dde478ea59a4ae2f225f513,,45.81,39.8
f6dd33a92a8d46aaa3e5e6bfe9c618eb,1,e3adda3b7f2f4d95ab8330024f86ae45,416b282654bd44059c1a35a342e53a52,,730.53,36.75
f6dd33a92a8d46aaa3e5e6bfe9c618eb,2,0949c3c990f14484a895000de4233920,42cbac26d02f4537a0feaff1f3afc4e5,,897.21,51.06
ef8ca3f7e412403baa4d96f34b065e36,1,9d47f5083f364dc2a0ea72c0a450731f,24eb49a695254a62949dd1b9212a7ac7,,949.4,22.04
ef8ca3f7e412403baa4d96f34b065e36,2,83fa3fbdeb6a480dbfb8b8f7923e623a,df7dec0f412f4a8f8cf2790a30d7014b,,220.23,38.65
