event_id,order_id,status,event_timestamp,seller_id,notes,customer_id,order_created_at,expected_delivery,channel
2495,008dd90af79141ce8cce7cabeff20bcd,created,2017-04-25T12:28:30,,,9ca4364d5d9a49f1908e3a956c6e8796,2017-04-24T09:28:30,2017-05-07T09:28:30,web
2496,008dd90af79141ce8cce7cabeff20bcd,approved,2017-04-28T09:28:30,,,9ca4364d5d9a49f1908e3a956c6e8796,2017-04-24T09:28:30,2017-05-07T09:28:30,web
2497,008dd90af79141ce8cce7cabeff20bcd,processing,2017-04-29T13:28:30,65bf8e04ae3c4ce6bde6849b468b22af,,9ca4364d5d9a49f1908e3a956c6e8796,2017-04-24T09:28:30,2017-05-07T09:28:30,web
2498,008dd90af79141ce8cce7cabeff20bcd,invoiced,2017-05-02T08:28:30,8d56bff669c9420fb425449cc145d6ba,,9ca4364d5d9a49f1908e3a956c6e8796,2017-04-24T09:28:30,2017-05-07T09:28:30,web
2499,008dd90af79141ce8cce7cabeff20bcd,shipped,2017-05-03T18:28:30,2dc091587b8341cf8ebc6d7ec8a65b85,,9ca4364d5d9a49f1908e3a956c6e8796,2017-04-24T09:28:30,2017-05-07T09:28:30,web
2500,008dd90af79141ce8cce7cabeff20bcd,delivered,2017-05-06T17:28:30,7bd7b4bf8e0e4bb78f20c5e75ec646eb,Left at door,9ca4364d5d9a49f1908e3a956c6e8796,2017-04-24T09:28:30,2017-05-07T09:28:30,web
7739,01107d10a4144dfb81ce3b8643943057,created,2017-06-09T23:04:53,,,10e6e383d736450e8ebc5f603687f1e1,2017-06-07T22:04:53,2017-06-25T22:04:53,mobile
7740,01107d10a4144dfb81ce3b8643943057,approved,2017-06-10T00:04:53,,,10e6e383d736450e8ebc5f603687f1e1,2017-06-07T22:04:53,2017-06-25T22:04:53,mobile
7741,01107d10a4144dfb81ce3b8643943057,processing,2017-06-10T22:04:53,50c49c2be8c441fc9f8c1c815ce9a3d3,,10e6e383d736450e8ebc5f603687f1e1,2017-06-07T22:04:53,2017-06-25T22:04:53,mobile
7742,01107d10a4144dfb81ce3b8643943057,invoiced,2017-06-13T19:04:53,72557e4ed4084cd1a78e4df0955ce1d2,,10e6e383d736450e8ebc5f603687f1e1,2017-06-07T22:04:53,2017-06-25T22:04:53,mobile
7743,01107d10a4144dfb81ce3b8643943057,shipped,2017-06-14T18:04:53,2cdb1625b41f472196afd9ce799f52c0,,10e6e383d736450e8ebc5f603687f1e1,2017-06-07T22:04:53,2017-06-25T22:04:53,mobile
7744,01107d10a4144dfb81ce3b8643943057,delivered,2017-06-17T00:04:53,cd65e32819fb4ed28da12b024a2c7830,,10e6e383d736450e8ebc5f603687f1e1,2017-06-07T22:04:53,2017-06-25T22:04:53,mobile
4675,011a3d3e34a94b4e94962441303408d1,created,2017-01-26T20:27:24,,,704d628f35a748abaaed979fb2ac4768,2017-01-25T07:27:24,2017-02-08T07:27:24,mobile
4676,011a3d3e34a94b4e94962441303408d1,approved,2017-01-28T01:27:24,,,704d628f35a748abaaed979fb2ac4768,2017-01-25T07:27:24,2017-02-08T07:27:24,mobile
4677,011a3d3e34a94b4e94962441303408d1,processing,2017-01-30T03:27:24,07b4e6848ef64ee89a5a8bc373315c49,,704d628f35a748abaaed979fb2ac4768,2017-01-25T07:27:24,2017-02-08T07:27:24,mobile
4678,011a3d3e34a94b4e94962441303408d1,invoiced,2017-01-30T18:27:24,dfae180393d747e7a3923df45fec59ac,,704d628f35a748abaaed979fb2ac4768,2017-01-25T07:27:24,2017-02-08T07:27:24,mobile
4679,011a3d3e34a94b4e94962441303408d1,shipped,2017-02-02T09:27:24,bce0caeff17f45c08e39f65a20db4294,,704d628f35a748abaaed979fb2ac4768,2017-01-25T07:27:24,2017-02-08T07:27:24,mobile
4680,011a3d3e34a94b4e94962441303408d1,delivered,2017-02-03T07:27:24,a8aa454ecf76470abff2e80a027a76dc,,704d628f35a748abaaed979fb2ac4768,2017-01-25T07:27:24,2017-02-08T07:27:24,mobile
4221,012060496872437aabdb58f2f57ccae2,created,2018-10-12T09:43:01,,,fe60afde420041aabc826fbe395e54f0,2018-10-09T22:43:01,2018-10-20T22:43:01,mobile
4222,012060496872437aabdb58f2f57ccae2,approved,2018-10-13T04:43:01,,,fe60afde420041aabc826fbe395e54f0,2018-10-09T22:43:01,2018-10-20T22:43:01,mobile
4223,012060496872437aabdb58f2f57ccae2,processing,2018-10-14T13:43:01,c4f5b03e5af1428c88ee46bf571f7cdb,,fe60afde420041aabc826fbe395e54f0,2018-10-09T22:43:01,2018-10-20T22:43:01,mobile
4224,012060496872437aabdb58f2f57ccae2,invoiced,2018-10-15T10:43:01,8e990457e0b147628524f0470bf2fb51,,fe60afde420041aabc826fbe395e54f0,2018-10-09T22:43:01,2018-10-20T22:43:01,mobile
4225,012060496872437aabdb58f2f57ccae2,shipped,2018-10-15T12:43:01,da78f4c526b3403aa57513a5447a4e2c,,fe60afde420041aabc826fbe395e54f0,2018-10-09T22:43:01,2018-10-20T22:43:01,mobile
4226,012060496872437aabdb58f2f57ccae2,delivered,2018-10-16T03:43:01,9ab2b73583f04e7d9faa8505b0acb9ba,,fe60afde420041aabc826fbe395e54f0,2018-10-09T22:43:01,2018-10-20T22:43:01,mobile
417,0154ee9f29c04b7eaae69d106c6feb68,created,2018-05-11T16:15:29,,,3d67cde9283444c094c8b3b4a911d192,2018-05-10T15:15:29,2018-05-25T15:15:29,mobile
418,0154ee9f29c04b7eaae69d106c6feb68,approved,2018-05-14T10:15:29,,,3d67cde9283444c094c8b3b4a911d192,2018-05-10T15:15:29,2018-05-25T15:15:29,mobile
419,0154ee9f29c04b7eaae69d106c6feb68,processing,2018-05-15T04:15:29,2812859a1337439e8d4f5d272c7f0b79,,3d67cde9283444c094c8b3b4a911d192,2018-05-10T15:15:29,2018-05-25T15:15:29,mobile
420,0154ee9f29c04b7eaae69d106c6feb68,invoiced,2018-05-16T16:15:29,b07aa066735445eaa8949b8d00af5b3a,,3d67cde9283444c094c8b3b4a911d192,2018-05-10T15:15:29,2018-05-25T15:15:29,mobile
421,0154ee9f29c04b7eaae69d106c6feb68,shipped,2018-05-18T22:15:29,085b15fb4a8f4810b84c2f29980402a2,,3d67cde9283444c094c8b3b4a911d192,2018-05-10T15:15:29,2018-05-25T15:15:29,mobile
