customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
bda81c9698f147c5916d90a00f3f55d9,ef75f5245f4b4b8cba118f19ae86d54d,13278,Alves,RS
86a1ca76fe54425db74e718721c35867,56ae41fbbc3a425d9bab233fb4408972,42098,da Cruz de Goiás,PR
7a7c0c31d44449bbaa87f4d12642099e,ff45685cd8344dfda475f61e1e4845c3,23434,Sousa,SP
1a14e6dbaf354a9ca82551d4448bca6e,c8f0864ae088447fac914880796c8ae4,81482,Rocha,RS
ed4a8f75c1654f76948ea69921fd6d9d,221c3351b4e74788b627f8367effe28d,65302,Pastor,SP
f78cde17d4fc48f0aa06dceb5c7c16da,6d38a03c15b540e38000bc4ec18f9a17,22280,Andrade do Sul,SP
3b9b39facc144a3c8851b34a1e6947d2,1f3dc362875a4183b36c1a9faf7c0121,76237,Cunha,SP
c91ac1bbb09a4ac7b3944bf965244aed,16d31d33bb88452ba9d082dac38ee56d,83563,Montenegro,MG
a0dafcf2893e4a698ec5127240574ce9,7a0bc0d60a1747a498a35ab187eb8535,95181,Novais,SP
ccc705fd78a44b0c83e23483101d9676,f7dea3a343d84ee0b2ab42bbd4e85404,64987,Silva,PR
9c0114bace3d446a9b03adc31bb865b7,2b62a29b31784524a557ccac7406adf2,87236,Câmara dos Dourados,SP
3c5d5c5f69154660b2d32e9da7b68e7b,3461c30db30742f59446e53470f94a38,10851,Abreu da Serra,SP
08af8fc46828405093da75e8695c7af9,eb3da8e35e1342b5b7cdb145bb11f244,30926,Fernandes Paulista,PR
5571a1b3eb3e466cb3f75f09855b27ba,9aa1bb5aa67d49489fe8959ec0bc4813,54597,Cunha,PR
b1cac1cba27140c1841b0e45fc7e0713,9bc5c7bcabe44a65b8df9e07bc0b9299,38221,Caldeira de Minas,SP
8668064c73bf4f7f859871c32d7e026a,65f0c6b37ca642be97fc6300b20b3d97,54118,Brito da Praia,PE
8aa0b5d73cc44ee291337931ea1e8c5d,490e7ec6ed204a33a2d63c89c792c6b2,59797,Pereira Paulista,SP
070460a8be4a4fce95495415bbb61ade,337c7f25f05f4b1897ebeef0f2cbf1dc,55082,Siqueira,SP
135187e2a81b4f0d91b19eb8870530eb,39ba5d189a7a4879ab314baf9856742c,15695,Nascimento de Campos,MG
