order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
e7ea49d59f3d4fb3ac94f061be15155b,589962e9f01343caa55557230ee73869,delivered,2018-08-16 14:56:46,2018-08-16 16:17:46,2018-08-18 16:17:46,2018-08-28 16:17:46,2018-09-18 14:56:46
1b47ee9a876b47599cbf33bf75ba6315,12dbc58995fe4f91b96afd64c5615b4c,canceled,2017-06-08 00:42:41,2017-06-08 02:32:41,2017-06-10 02:32:41,,2017-06-25 00:42:41
6c6ff7cc2e4148b781d8a2318e298dd3,96e9b322cac540eab43f0acaeeae499b,canceled,2017-11-26 03:19:05,2017-11-26 04:40:05,2017-11-30 04:40:05,,2017-12-03 03:19:05
44e9aaa1f1694336b511ba89bae04393,87fdf19169be411eaee3e413a46a88ea,delivered,2018-05-23 05:53:57,2018-05-23 06:24:57,2018-05-24 06:24:57,2018-05-26 06:24:57,2018-06-29 05:53:57
57e37898392a4cada12ea9dec65b9821,911fa8867ece40578a25511658cb3ebf,delivered,2018-06-13 04:04:39,2018-06-13 05:02:39,2018-06-16 05:02:39,2018-06-23 05:02:39,2018-07-22 04:04:39
dcbea922d5a54ef692a47cb3ca124f8e,ca923bcb7f7f4725b3bee121c737b7fd,delivered,2018-07-29 03:22:07,2018-07-29 04:40:07,2018-08-03 04:40:07,2018-08-06 04:40:07,2018-08-24 03:22:07
ad01dc5f3abc4278804db180861c3fdb,92402c0f9c7141e881ceaf6a6abc6b90,delivered,2017-04-19 11:16:10,2017-04-19 12:58:10,2017-04-24 12:58:10,2017-05-03 12:58:10,2017-05-23 11:16:10
c75c0f4b1cb84aa983ba7c139b195d60,83bac421e40e4f33bd02ff0fd0bd9cb6,delivered,2017-09-05 05:36:55,2017-09-05 07:13:55,2017-09-08 07:13:55,2017-09-17 07:13:55,2017-10-10 05:36:55
c6a39f12ae284d6cb75dd5c31a1bc37b,ed87f7adb6614edfaa404966dfb470d2,delivered,2017-09-23 08:26:28,2017-09-23 09:02:28,2017-09-27 09:02:28,2017-10-17 09:02:28,2017-10-21 08:26:28
3ef585254f434a74bd770635f55a68f2,c02a38fb848a42c4b1fe42851f409a54,invoiced,2018-05-18 02:34:34,2018-05-18 02:44:34,2018-05-23 02:44:34,,2018-05-25 02:34:34
0b4a655b705c4427ad49214e296a44bb,75e87c81bf3d45a5a85f467d513d8e4c,canceled,2017-11-17 21:55:01,2017-11-17 23:16:01,2017-11-21 23:16:01,,2017-11-29 21:55:01
cb4488adf3ed4ee1b157965200187ce9,22b31b316cc648b8aa20cce80d2931b1,approved,2018-02-23 09:09:04,2018-02-23 09:22:04,,,2018-03-24 09:09:04
